time	language	name	barcode	access	user
2017-01-10 13:19:04.523893	FR	Caro	9990000000111	g	9990000000111
2017-01-10 13:19:04.523893	FR	hadel	CO.7S201.061	c	9990000000111
2017-01-10 14:29:57.885925	FR	hadel	CO.7S201.061	b	9990000000111
2017-01-10 14:31:02.234309	FR	hadel	CO.7S201.061		9990000000111
2017-01-10 14:31:15.283207	FR	hadel	CO.7S201.061	c	9990000000111
2017-01-13 21:30:16.224107	FR	DANI	9990000000128	a	9990000000111
2017-02-06 17:29:21.928669	FR	ETIENNE	9900000000035	g	9990000000111
2017-02-06 17:29:58.661369	FR	hadel	CO.7S201.061	c	9990000000111
2017-08-29 15:11:03.594600	FR	hadel	CO.7S201.061	g	1000000010121
2017-08-29 15:11:12.982189	FR	hadel	CO.7S201.061	a	1000000010121
2017-09-08 10:43:58.260899	FR		0004193262	g	1000000010121
2017-09-08 10:45:28.126900	FR		0000754573	b	0004193262
2017-09-16 13:52:54.803873	FR		0004134170	c	1000000010121
2017-09-16 19:44:51.466888	FR	xhri	0004193262	g	0004193262
2017-09-16 19:48:26.579098	FR	zero	0004134170	c	0004193262
